instance,N,energy,merit_factor,wall_time_s,hardware,solver
LABS-4,4,2,4.0,0.01,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-5,5,2,6.25,0.01,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-6,6,7,2.57,0.02,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-7,7,3,8.17,0.02,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-8,8,8,4.0,0.02,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-9,9,12,3.38,0.02,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-10,10,13,3.85,0.03,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-11,11,5,12.1,0.03,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-12,12,10,7.2,0.04,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-13,13,6,14.08,0.04,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-14,14,19,5.16,0.04,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-15,15,23,4.89,0.05,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-16,16,24,5.33,0.05,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-17,17,32,4.52,0.06,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-18,18,25,6.48,0.06,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-19,19,37,4.88,0.07,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-20,20,34,5.88,0.07,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-21,21,34,6.49,0.08,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-22,22,39,6.21,0.1,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-23,23,51,5.19,0.1,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-24,24,52,5.54,0.11,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-25,25,56,5.58,0.13,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-26,26,61,5.54,0.14,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-27,27,37,9.85,0.16,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-28,28,74,5.3,0.19,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-29,29,78,5.39,0.21,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-30,30,83,5.42,0.19,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-31,31,83,5.79,0.25,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-32,32,80,6.4,0.27,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-33,33,104,5.24,0.31,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-34,34,97,5.96,0.34,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-35,35,109,5.62,0.45,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-36,36,114,5.68,0.37,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-37,37,106,6.46,0.41,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-38,38,135,5.35,0.53,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-39,39,139,5.47,0.54,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-40,40,144,5.56,0.52,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-41,41,140,6.0,0.64,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-42,42,157,5.62,0.6,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-43,43,161,5.74,0.72,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-44,44,186,5.2,0.84,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-45,45,170,5.96,0.72,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-46,46,155,6.83,0.78,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-47,47,219,5.04,0.84,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-48,48,208,5.54,1.01,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-49,49,224,5.36,1.11,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-50,50,257,4.86,1.49,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-51,51,221,5.88,1.12,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-52,52,242,5.59,1.19,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-53,53,238,5.9,1.4,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-54,54,263,5.54,1.42,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-55,55,299,5.06,2.13,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-56,56,304,5.16,1.75,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-57,57,316,5.14,1.75,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-58,58,301,5.59,1.85,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-59,59,313,5.56,2.29,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-60,60,346,5.2,2.24,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-61,61,358,5.2,2.76,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-62,62,371,5.18,2.5,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-63,63,351,5.65,2.82,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-64,64,396,5.17,3.0,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-65,65,400,5.28,3.03,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-66,66,417,5.22,3.64,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-67,67,357,6.29,4.01,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-68,68,442,5.23,3.7,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-69,69,470,5.06,3.46,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-70,70,479,5.11,4.89,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-71,71,519,4.86,5.27,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-72,72,508,5.1,5.68,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-73,73,544,4.9,6.75,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-74,74,565,4.85,6.35,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-75,75,569,4.94,6.43,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-76,76,586,4.93,6.86,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-77,77,646,4.59,6.82,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-78,78,667,4.56,7.04,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-79,79,647,4.82,8.03,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-80,80,632,5.06,9.77,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-81,81,672,4.88,9.1,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-82,82,681,4.94,9.68,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-83,83,733,4.7,9.65,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-84,84,730,4.83,9.93,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-85,85,742,4.87,12.65,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-86,86,767,4.82,12.22,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-87,87,763,4.96,12.48,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-88,88,740,5.23,13.29,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-89,89,828,4.78,14.96,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-90,90,845,4.79,16.95,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-91,91,857,4.83,17.47,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-92,92,738,5.73,17.71,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-93,93,854,5.06,18.76,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-94,94,915,4.83,19.5,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-95,95,867,5.2,18.94,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-96,96,984,4.68,21.86,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-97,97,1000,4.7,21.82,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-98,98,897,5.35,24.49,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-99,99,985,4.98,21.64,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-100,100,1022,4.89,16.88,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
